% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: Elisa Venditti
%      (b) Donor: Elisa Venditti
%      (c) Date: May, 2022
% 
@RELATION buggy

@ATTRIBUTE size  NUMERIC
@ATTRIBUTE locTouched   NUMERIC
@ATTRIBUTE revisionNumber  NUMERIC
@ATTRIBUTE authorNumber   NUMERIC
@ATTRIBUTE locAdded   NUMERIC
@ATTRIBUTE maxLocAdded   NUMERIC
@ATTRIBUTE avgLocAdded   NUMERIC
@ATTRIBUTE chgSetSize   NUMERIC
@ATTRIBUTE maxChgSetSize   NUMERIC
@ATTRIBUTE avgChgSetSize   NUMERIC
@ATTRIBUTE class        {Yes, No}
@DATA
353.0,2118.0,6.0,0.0,2118.0,353.0,353.0,7968.0,1328.0,1328.0,No
49.0,294.0,6.0,0.0,294.0,49.0,49.0,7968.0,1328.0,1328.0,No
26.0,156.0,6.0,0.0,156.0,26.0,26.0,7968.0,1328.0,1328.0,No
26.0,156.0,6.0,0.0,156.0,26.0,26.0,7968.0,1328.0,1328.0,No
42.0,252.0,6.0,0.0,252.0,42.0,42.0,7968.0,1328.0,1328.0,No
28.0,168.0,6.0,0.0,168.0,28.0,28.0,7968.0,1328.0,1328.0,No
28.0,168.0,6.0,0.0,168.0,28.0,28.0,7968.0,1328.0,1328.0,No
43.0,258.0,6.0,0.0,258.0,43.0,43.0,7968.0,1328.0,1328.0,No
99.0,594.0,6.0,0.0,594.0,99.0,99.0,7968.0,1328.0,1328.0,No
65.0,390.0,6.0,0.0,390.0,65.0,65.0,7968.0,1328.0,1328.0,No
35.0,210.0,6.0,0.0,210.0,35.0,35.0,7968.0,1328.0,1328.0,No
62.0,372.0,6.0,0.0,372.0,62.0,62.0,7968.0,1328.0,1328.0,No
40.0,240.0,6.0,0.0,240.0,40.0,40.0,7968.0,1328.0,1328.0,No
27.0,162.0,6.0,0.0,162.0,27.0,27.0,7968.0,1328.0,1328.0,No
29.0,174.0,6.0,0.0,174.0,29.0,29.0,7968.0,1328.0,1328.0,No
94.0,588.0,12.0,0.0,576.0,96.0,48.0,7986.0,1328.0,665.0,No
50.0,300.0,6.0,0.0,300.0,50.0,50.0,7968.0,1328.0,1328.0,No
165.0,1146.0,18.0,0.0,1068.0,150.0,59.0,8124.0,1328.0,451.0,No
43.0,258.0,6.0,0.0,258.0,43.0,43.0,7968.0,1328.0,1328.0,No
180.0,2256.0,24.0,0.0,1716.0,200.0,71.0,8694.0,1328.0,362.0,No
111.0,666.0,6.0,0.0,666.0,111.0,111.0,7968.0,1328.0,1328.0,No
66.0,396.0,6.0,0.0,396.0,66.0,66.0,7968.0,1328.0,1328.0,No
113.0,678.0,6.0,0.0,678.0,113.0,113.0,7968.0,1328.0,1328.0,No
40.0,240.0,6.0,0.0,240.0,40.0,40.0,7968.0,1328.0,1328.0,No
72.0,432.0,6.0,0.0,432.0,72.0,72.0,7968.0,1328.0,1328.0,No
66.0,396.0,6.0,0.0,396.0,66.0,66.0,7968.0,1328.0,1328.0,No
77.0,462.0,6.0,0.0,462.0,77.0,77.0,7968.0,1328.0,1328.0,No
59.0,354.0,6.0,0.0,354.0,59.0,59.0,7968.0,1328.0,1328.0,No
184.0,1104.0,6.0,0.0,1104.0,184.0,184.0,7968.0,1328.0,1328.0,No
95.0,570.0,6.0,0.0,570.0,95.0,95.0,7968.0,1328.0,1328.0,No
102.0,612.0,6.0,0.0,612.0,102.0,102.0,7968.0,1328.0,1328.0,No
183.0,1098.0,6.0,0.0,1098.0,183.0,183.0,7968.0,1328.0,1328.0,No
119.0,714.0,6.0,0.0,714.0,119.0,119.0,7968.0,1328.0,1328.0,No
50.0,300.0,6.0,0.0,300.0,50.0,50.0,7968.0,1328.0,1328.0,No
